True_Positive,True_Negative,False_Positive,False_Negative
0,1,0,0
0,0,0,1
0,0,1,0
0,1,0,0
1,0,0,0
1,0,0,0
1,0,0,0
0,0,1,0
0,1,0,0
0,0,1,0
1,0,0,0
0,0,0,1
0,0,1,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
0,1,0,0
0,1,0,0
1,0,0,0
0,1,0,0
1,0,0,0
1,0,0,0
0,1,0,0
0,1,0,0
0,0,1,0
1,0,0,0
0,1,0,0
0,1,0,0
1,0,0,0
0,1,0,0
1,0,0,0
1,0,0,0
0,0,0,1
0,0,0,1
0,0,1,0
1,0,0,0
1,0,0,0
0,1,0,0
0,1,0,0
1,0,0,0
0,1,0,0
1,0,0,0
0,0,0,1
1,0,0,0
0,1,0,0
1,0,0,0
0,1,0,0
0,1,0,0
1,0,0,0
0,0,0,1
0,0,1,0
0,0,0,1
0,0,0,1
0,1,0,0
0,0,0,1
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
0,1,0,0
1,0,0,0
0,0,1,0
0,1,0,0
1,0,0,0
0,1,0,0
1,0,0,0
0,0,1,0
1,0,0,0
0,0,0,1
0,0,1,0
1,0,0,0
1,0,0,0
0,0,1,0
0,0,1,0
0,0,1,0
0,0,1,0
1,0,0,0
0,1,0,0
1,0,0,0
0,0,1,0
0,1,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
0,0,1,0
0,1,0,0
0,0,0,1
0,1,0,0
1,0,0,0
0,0,1,0
0,0,1,0
0,1,0,0
0,0,1,0
0,1,0,0
0,1,0,0
0,1,0,0
1,0,0,0
1,0,0,0
